COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,CANTIDAD
ELECTRICO,ACTIVO,07/30/2019 12:00:00 AM,2019,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,08/31/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/18/2022 12:00:00 AM,2022,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,11/28/2018 12:00:00 AM,2018,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,09/21/2018 12:00:00 AM,2018,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,02/27/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/28/2020 12:00:00 AM,2020,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,01/29/2022 12:00:00 AM,2022,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,10/29/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/29/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/24/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,09/26/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,09/20/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,11/09/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,07/30/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,09/15/2020 12:00:00 AM,2020,CAMION,Antioquia,1
ELECTRICO,ACTIVO,09/05/2017 12:00:00 AM,2017,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,02/27/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,12/06/2019 12:00:00 AM,2019,BUS,Antioquia,1
ELECTRICO,ACTIVO,08/15/2013 12:00:00 AM,2013,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,12/29/2016 12:00:00 AM,2016,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,03/08/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,02/21/2022 12:00:00 AM,2022,CAMIONETA,Cundinamarca,1
ELECTRICO,ACTIVO,07/23/2020 12:00:00 AM,2020,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,12/07/2011 12:00:00 AM,2011,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,03/28/2019 12:00:00 AM,2019,CAMIONETA,Caldas,1
ELECTRICO,ACTIVO,11/23/2012 12:00:00 AM,2012,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,07/30/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,05/30/2017 12:00:00 AM,2017,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,12/29/2020 12:00:00 AM,2020,AUTOMOVIL,Risaralda,1
ELECTRICO,ACTIVO,12/05/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/15/2014 12:00:00 AM,2014,MOTOCICLETA,Meta,1
ELECTRICO,ACTIVO,07/22/2014 12:00:00 AM,2014,MOTOCICLETA,Santander,1
ELECTRICO,ACTIVO,04/19/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,06/17/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,06/02/2021 12:00:00 AM,2021,CUADRICICLO,Santander,1
ELECTRICO,ACTIVO,07/15/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,10/11/2012 12:00:00 AM,2012,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,12/19/2016 12:00:00 AM,2016,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/28/2020 12:00:00 AM,2020,AUTOMOVIL,Meta,1
ELECTRICO,ACTIVO,06/08/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,11/09/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,09/16/2021 12:00:00 AM,2021,AUTOMOVIL,Cundinamarca,1
ELECTRICO,ACTIVO,02/13/2015 12:00:00 AM,2015,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,10/20/2021 12:00:00 AM,2021,CAMION,Antioquia,1
ELECTRICO,ACTIVO,02/05/2019 12:00:00 AM,2019,TRICIMOTO,Bogota D.C.,1
ELECTRICO,ACTIVO,11/13/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,11/26/2021 12:00:00 AM,2021,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,03/11/2020 12:00:00 AM,2020,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,11/11/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,03/11/2020 12:00:00 AM,2020,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,12/06/2019 12:00:00 AM,2019,BUS,Antioquia,1
ELECTRICO,ACTIVO,11/02/2010 12:00:00 AM,2010,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,10/16/2015 12:00:00 AM,2015,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,05/12/2021 12:00:00 AM,2021,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,06/27/2016 12:00:00 AM,2016,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,12/12/2018 12:00:00 AM,2018,CUADRICICLO,Cundinamarca,1
ELECTRICO,ACTIVO,07/04/2018 12:00:00 AM,2018,MOTOCICLETA,Valle del Cauca,1
ELECTRICO,ACTIVO,02/21/2022 12:00:00 AM,2022,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,03/02/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/20/2014 12:00:00 AM,2014,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,02/24/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/25/2021 12:00:00 AM,2021,CAMION,Antioquia,1
ELECTRICO,ACTIVO,01/15/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,09/05/2012 12:00:00 AM,2012,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,09/14/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/22/2021 12:00:00 AM,2021,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,12/29/2020 12:00:00 AM,2020,MOTOCICLETA,Risaralda,1
ELECTRICO,ACTIVO,09/09/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/03/2022 12:00:00 AM,2022,CAMION,Antioquia,1
ELECTRICO,ACTIVO,09/03/2014 12:00:00 AM,2014,MOTOCICLETA,Valle del Cauca,1
ELECTRICO,ACTIVO,01/15/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,02/19/2020 12:00:00 AM,2020,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,12/30/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,11/28/2012 12:00:00 AM,2012,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,11/05/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,05/24/2013 12:00:00 AM,2013,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,11/28/2019 12:00:00 AM,2019,BUS,Antioquia,1
ELECTRICO,ACTIVO,11/28/2012 12:00:00 AM,2012,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,11/19/2021 12:00:00 AM,2021,CAMIONETA,Cundinamarca,1
